0|Beograd|Srbija
1|Novi Sad|Srbija
2|Novi Sad|Srbija
3|Beograd|Srbija
4|Novi Sad|Srbija
5|Valid|Valid
6|TROJA|TROJA
7|A|A
8|B|B
9|C|C
10|D|D
11|TURA|TURA
12|HE|HE
13|BG|SRB
14|Pera|sss
15|A|B
16|A|B
17|Novi Sad|Srbija
18|Novi Sad|Srbija
19|Proba|Proba
20|A|A
21|B|B
22|A|A
23|test|test
24|T|T
25|Novi Sad|Srbija
26|KE|KE
27|G|G
28|G|G
29|XX|XX
30|Novi Sad|Srbija
31|Beograd|Srbija
32|Beograd|Srbija
33|Beograd|Srbija
34|Nis|Srbija
35|Karlovci|Srbija
36|asdfghfd|sdfgdsa
37|Budimpesta|Madjarska
38|Minhen|Nemacka
39|Budimpesta|Madjarska
40|Novi Sad|Srbija
41|Novi Sad|Srbija
42|Beograd|Srbija
43|Beograd|Srbija
44|Novi Sad|Srbija
45|Novi Sad|Srbija
46|Beograd|Srbija
47|Beograd|Srbija
48|Petrovaradin|Srbija
49|Nis|Srbija
50|Golubac|Srbija
51|Karlovci|Srbija
52|Kovacica|Srbija
53|Budimpesta|Madjarska
54|Nis|Srbija
55|Golubac|Srbija
56||
57|Novi Sad|Srbija
58||
